eo_number,title,date,president,url,status
UNKNOWN,,2026-06-25,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/app-categories/written-presidential-orders/presidential/executive-orders,ok
UNKNOWN,Executive Orders,,,https://www.presidency.ucsb.edu/statistics/data/executive-orders,ok
UNKNOWN,Executive Order—Advancing Regenerative Agriculture and Strengthening American Farm Resilience,2026-06-25,Donald J. Trump (2nd Term)47th President of the United States: 2025—presentExecutive Order—Advancing Regenerative Agriculture and Strengthening American Farm Resilience,https://www.presidency.ucsb.edu/documents/executive-order-advancing-regenerative-agriculture-and-strengthening-american-farm,ok
14412,Executive Order 14412—Securing the Nation Against Advanced Cryptographic Attacks,2026-06-22,Donald J. Trump (2nd Term)47th President of the United States: 2025—presentExecutive Order 14412—Securing the Nation Against Advanced Cryptographic Attacks,https://www.presidency.ucsb.edu/documents/executive-order-14412-securing-the-nation-against-advanced-cryptographic-attacks,ok
14413,Executive Order 14413—Ushering in the Next Frontier of Quantum Innovation,2026-06-22,Donald J. Trump (2nd Term)47th President of the United States: 2025—presentExecutive Order 14413—Ushering in the Next Frontier of Quantum Innovation,https://www.presidency.ucsb.edu/documents/executive-order-14413-ushering-the-next-frontier-quantum-innovation,ok
14411,Executive Order 14411—Strengthening Customs Enforcement,2026-06-03,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14411-strengthening-customs-enforcement,ok
14410,Executive Order 14410—Implementing Schedule Policy/Career in the Excepted Service,2026-06-03,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14410-implementing-schedule-policycareer-the-excepted-service,ok
14409,Executive Order 14409—Promoting Advanced Artificial Intelligence Innovation and Security,2026-06-02,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14409-promoting-advanced-artificial-intelligence-innovation-and-security,ok
14408,Executive Order 14408—Removing Unnecessary and Counterproductive Restrictions on Access to Federal Lands,2026-05-29,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14408-removing-unnecessary-and-counterproductive-restrictions-access,ok
14407,"Executive Order 14407—Realigning United States Core Childhood Vaccine Recommendations with Best Practices from Peer, Developed Countries",2026-05-29,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14407-realigning-united-states-core-childhood-vaccine-recommendations-with,ok
14405,Executive Order 14405—Integrating Financial Technology Innovation into Regulatory Frameworks,2026-05-19,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14405-integrating-financial-technology-innovation-into-regulatory,ok
14406,Executive Order 14406—Restoring Integrity to America's Financial System,2026-05-19,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14406-restoring-integrity-americas-financial-system,ok
14404,Executive Order 14404—Imposing Sanctions on Those Responsible for Repression in Cuba and for Threats to United States National Security and Foreign Policy,2026-05-01,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14404-imposing-sanctions-those-responsible-for-repression-cuba-and-for,ok
Executive Order 1440,Executive Order 14403—Promoting Retirement-Savings Access for American Workers by Establishing TrumpIRA.gov,,,https://www.presidency.ucsb.edu/documents/executive-order-14403-promoting-retirement-savings-access-for-american-workers,"error: HTTPSConnectionPool(host='www.presidency.ucsb.edu', port=443): Read timed out. (read timeout=30)"
14402,"Executive Order 14402—Promoting Efficiency, Accountability, and Performance in Federal Contracting",2026-04-30,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14402-promoting-efficiency-accountability-and-performance-federal,ok
14401,Executive Order 14401—Accelerating Medical Treatments for Serious Mental Illness,2026-04-18,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14401-accelerating-medical-treatments-for-serious-mental-illness,ok
14400,Executive Order 14400—Urgent National Action To Save College Sports,2026-04-03,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14400-urgent-national-action-save-college-sports,ok
14399,Executive Order 14399—Ensuring Citizenship Verification and Integrity in Federal Elections,2026-03-31,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14399-ensuring-citizenship-verification-and-integrity-federal-elections,ok
14398,Executive Order 14398—Addressing DEI Discrimination by Federal Contractors,2026-03-26,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14398-addressing-dei-discrimination-federal-contractors,ok
14397,Executive Order 14397—Further Continuance of the Federal Emergency Management Agency Review Council,2026-03-24,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14397-further-continuance-the-federal-emergency-management-agency-review,ok
14396,Executive Order 14396—Preserving America's Game,2026-03-20,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14396-preserving-americas-game,ok
14395,Executive Order 14395—Establishing the Task Force To Eliminate Fraud,2026-03-16,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14395-establishing-the-task-force-eliminate-fraud,ok
14393,Executive Order 14393—Promoting Access to Mortgage Credit,2026-03-13,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14393-promoting-access-mortgage-credit,ok
14391,Executive Order 14391—Adjusting Certain Delegations Under the Defense Production Act,2026-03-13,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14391-adjusting-certain-delegations-under-the-defense-production-act,ok
14392,Executive Order 14392—Ensuring Truthful Advertising of Products Claiming To Be Made in America,2026-03-13,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14392-ensuring-truthful-advertising-products-claiming-be-made-america,ok
14394,Executive Order 14394—Removing Regulatory Barriers to Affordable Home Construction,2026-03-13,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14394-removing-regulatory-barriers-affordable-home-construction,ok
14390,"Executive Order 14390—Combating Cybercrime, Fraud, and Predatory Schemes Against American Citizens",2026-03-06,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14390-combating-cybercrime-fraud-and-predatory-schemes-against-american,ok
14388,Executive Order 14388—Continuing the Suspension of Duty-Free De Minimis Treatment for All Countries,2026-02-20,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14388-continuing-the-suspension-duty-free-de-minimis-treatment-for-all,ok
14389,Executive Order 14389—Ending Certain Tariff Actions,2026-02-20,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14389-ending-certain-tariff-actions,ok
14387,Executive Order 14387—Promoting the National Defense by Ensuring an Adequate Supply of Elemental Phosphorus and Glyphosate-Based Herbicides,2026-02-18,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14387-promoting-the-national-defense-ensuring-adequate-supply-elemental,ok
14386,Executive Order 14386—Strengthening United States National Defense With America's Beautiful Clean Coal Power Generation Fleet,2026-02-11,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14386-strengthening-united-states-national-defense-with-americas-beautiful,ok
14384,Executive Order 14384—Modifying Duties To Address Threats to the United States by the Government of the Russian Federation,2026-02-06,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14384-modifying-duties-address-threats-the-united-states-the-government,ok
14382,Executive Order 14382—Addressing Threats to the United States by the Government of Iran,2026-02-06,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14382-addressing-threats-the-united-states-the-government-iran,ok
14385,Executive Order 14385—Protecting the National Security and Welfare of the United States and Its Citizens From Criminal Actors and Other Public Safety Threats,2026-02-06,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14385-protecting-the-national-security-and-welfare-the-united-states-and,ok
14383,Executive Order 14383—Establishing an America First Arms Transfer Strategy,2026-02-06,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14383-establishing-america-first-arms-transfer-strategy,ok
14381,Executive Order 14381—Celebrating American Greatness With American Motor Racing,2026-01-30,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14381-celebrating-american-greatness-with-american-motor-racing,ok
Executive Order 1437,Executive Order 14379—Addressing Addiction Through the Great American Recovery Initiative,,,https://www.presidency.ucsb.edu/documents/executive-order-14379-addressing-addiction-through-the-great-american-recovery-initiative,"error: HTTPSConnectionPool(host='www.presidency.ucsb.edu', port=443): Read timed out. (read timeout=30)"
14380,Executive Order 14380—Addressing Threats to the United States by the Government of Cuba,2026-01-29,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14380-addressing-threats-the-united-states-the-government-cuba,ok
14378,Executive Order 14378—Continuance of the Federal Emergency Management Agency Review Council,2026-01-23,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14378-continuance-the-federal-emergency-management-agency-review-council,ok
14377,Executive Order 14377—Addressing State and Local Failures To Rebuild Los Angeles After Wildfire Disasters,2026-01-23,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14377-addressing-state-and-local-failures-rebuild-los-angeles-after,ok
14376,Executive Order 14376—Stopping Wall Street From Competing With Main Street Homebuyers,2026-01-20,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14376-stopping-wall-street-from-competing-with-main-street-homebuyers,ok
Executive Order 1437,"Executive Order 14375—Designating the Board of Peace as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities",,,https://www.presidency.ucsb.edu/documents/executive-order-14375-designating-the-board-peace-public-international-organization,"error: HTTPSConnectionPool(host='www.presidency.ucsb.edu', port=443): Read timed out. (read timeout=30)"
14374,Executive Order 14374—Establishing a Second Emergency Board To Investigate Disputes Between the Long Island Rail Road Company and Certain of Its Employees Represented by Certain Labor Organizations,2026-01-14,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14374-establishing-second-emergency-board-investigate-disputes-between-the,ok
14373,Executive Order 14373—Safeguarding Venezuelan Oil Revenue for the Good of the American and Venezuelan People,2026-01-09,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14373-safeguarding-venezuelan-oil-revenue-for-the-good-the-american-and,ok
14372,Executive Order 14372—Prioritizing the Warfighter in Defense Contracting,2026-01-07,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14372-prioritizing-the-warfighter-defense-contracting,ok
14369,Executive Order 14369—Ensuring American Space Superiority,2025-12-18,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14369-ensuring-american-space-superiority,ok
14370,Executive Order 14370—Increasing Medical Marijuana and Cannabidiol Research,2025-12-18,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14370-increasing-medical-marijuana-and-cannabidiol-research,ok
14371,"Executive Order 14371—Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2025, and December 26, 2025",2025-12-18,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14371-providing-for-the-closing-executive-departments-and-agencies-the,ok
14368,Executive Order 14368—Adjustments of Certain Rates of Pay,2025-12-18,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14368-adjustments-certain-rates-pay,ok
14367,Executive Order 14367—Designating Fentanyl as a Weapon of Mass Destruction,2025-12-15,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14367-designating-fentanyl-weapon-mass-destruction,ok
Executive Order 1436,Executive Order 14366—Protecting American Investors From Foreign-Owned and Politically-Motivated Proxy Advisors,,,https://www.presidency.ucsb.edu/documents/executive-order-14366-protecting-american-investors-from-foreign-owned-and-politically,"error: HTTPSConnectionPool(host='www.presidency.ucsb.edu', port=443): Read timed out. (read timeout=30)"
14365,Executive Order 14365—Ensuring a National Policy Framework for Artificial Intelligence,2025-12-11,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14365-ensuring-national-policy-framework-for-artificial-intelligence,ok
14364,Executive Order 14364—Addressing Security Risks From Price Fixing and Anti-Competitive Behavior in the Food Supply Chain,2025-12-06,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14364-addressing-security-risks-from-price-fixing-and-anti-competitive,ok
14362,Executive Order 14362—Designation of Certain Muslim Brotherhood Chapters as Foreign Terrorist Organizations and Specially Designated Global Terrorists,2025-11-24,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14362-designation-certain-muslim-brotherhood-chapters-foreign-terrorist,ok
14363,Executive Order 14363—Launching the Genesis Mission,2025-11-24,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14363-launching-the-genesis-mission,ok
14361,Executive Order 14361—Modifying the Scope of Tariffs on the Government of Brazil,2025-11-20,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14361-modifying-the-scope-tariffs-the-government-brazil,ok
14360,Executive Order 14360—Modifying the Scope of the Reciprocal Tariff With Respect to Certain Agricultural Products,2025-11-14,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14360-modifying-the-scope-the-reciprocal-tariff-with-respect-certain,ok
14359,Executive Order 14359—Fostering the Future for American Children and Families,2025-11-13,Donald J. Trump (2nd Term),https://www.presidency.ucsb.edu/documents/executive-order-14359-fostering-the-future-for-american-children-and-families,ok
