eo_number,date_as_printed,title_as_printed,transcription_note
7856,1938-03-31,Rules Governing the Granting and Issuing of Passports in the United States,
8233,1939-09-05,Prescribing Regulations Governing the Enforcement of the Neutrality of the United States,
8344,1940-02-11,Withdrawal of Public Land for Classification-Alaska,
8629,1941-01-07,Establishing the Office of Production Management,
8683,1941-02-14,Establishing Naval Defensive Sea Areas around Naval Airspace Reservations,
8693,1941-02-25,Prescribing Regulations Concerning the Exportation of Articles and Materials,
8751,1941-05-02,Establishing the Division of Defense Aid Reports in the Office for Emergency Management of the E.O.P.,
8773,1941-06-09,"Government Possession and Control-North American Aviation, Inc.",
8785,1941-06-14,Regulating Transactions in Foreign Exchange and Foreign-Owned Property,
8802,1941-06-25,"Equal Employment in Government Contracting, Establishing the Fair Employment Practices Committee",
8890,1941-09-03,Establishing the Office of Defense Health and Welfare,
8944,1941-11-19,"Government possession and control, Grand River Dam Authority",
9017,1942-01-12,Establishing the National War Labor Board,
9040,1942-01-24,Adding duties to the War Production Board,
9083,1942-02-28,Transfer of authority for maritime functions,
9102,1942-03-18,Establishing the War Relocation Authority,
9253,1942-10-09,Administration of Contracts of the Immigration and Naturalization Service,
9279,1942-12-05,"Mobilization of National Manpower, Administration of Selective Service System",
9337,1943-04-04,Transfer of authority to withdraw public lands to the Secretary of the Interior,
9341,1943-05-13,"Government possession and control, American Railroad Co. of Puerto Rico",
9351,1943-06-14,"Government possession and control, Howarth Pivoted Bearings Co.",
9387,1943-10-15,Establishing Advisory Board on Just Compensation,
9425,1944-02-19,Establishing Surplus War Property Administration,
9427,1944-02-24,Establishing Retraining and Reemployment Administration,
9437,1944-04-18,Revocation of Executive Order 9165 (Protection of Essential Facilities from Sabotage and Other Destructive Acts),
9459,1944-08-03,"Government possession and control, Philadelphia Transportation Co.",
9474,1944-08-31,"Government possession and control, Ford Colleries Co. and Rochester and Pittsburgh Coal Co.",
9476,1944-09-03,"Government possession and control, certain coal companies",
9484,1944-09-23,"Government possession and control, Farrell Cheek Steel Co.",
9505,1944-12-06,"Government possession and control, Cudahy Brothers Co.",
9508,1944-12-27,"Government possession and control, Montgomery Ward & Co.",
9511,1945-01-12,"Government possession and control, Cleveland Electric Illuminating Co.",
9523,1945-02-18,"Government possession and control, American Enka Corp.",
9570,1945-06-14,"Government possession and control, Scranton Transit Co.",
9593,1945-07-25,"Government possession and control, Springfield Plywood Corp.",
9595,1945-07-30,"Government possession and control, United States Rubber Co.",
9607,1945-08-30,Revoking forty-eight-hour minimum work week,
9608,1945-08-31,Termination of Office of War Information,
9621,1945-09-21,Termination of Office of Strategic Services and transfer of its functions,
9622,1945-09-21,Revocation of Executive Order 9103 (Publication and Use of Federal Statistical Information),
9639,1945-09-29,"Government possession and control, certain petroleum companies",
9661,1945-11-29,"Government possession and control, Great Lakes Towing Co.",
9672,1945-12-21,"Establishment of National Wage Stabilization Board, Termination of the National War Labor Board",
9674,1946-01-04,Liquidation of War Agencies,
