year,n_orders,mean,median,share_zero,mean_if_nonzero,n_long_orders_gt842w,mean_long_orders
1936,269,2.62,0.0,0.877,21.37,12,1.22
1937,252,0.91,0.0,0.948,17.69,15,0.67
1938,247,1.44,0.0,0.911,16.12,21,2.96
1939,286,3.58,0.0,0.853,24.39,16,5.9
1940,307,6.12,0.0,0.765,26.1,27,12.19
1941,381,8.39,0.0,0.714,29.32,32,26.79
1942,286,9.48,0.0,0.699,31.53,31,21.83
1943,120,13.08,0.0,0.6,32.7,13,26.85
1944,96,13.87,0.0,0.552,30.96,5,31.03
1945,164,9.03,0.0,0.646,25.52,14,18.82
1946,145,7.06,0.0,0.717,24.96,14,25.8
1947,101,5.71,0.0,0.792,27.46,10,17.92
1948,106,6.29,0.0,0.736,23.81,16,16.73
1949,69,4.73,0.0,0.696,15.53,5,6.86
1950,105,9.63,0.0,0.61,24.65,17,26.25
1951,118,14.25,10.0,0.347,21.84,24,30.19
1952,104,11.25,10.0,0.413,19.18,12,24.1
1953,90,10.92,0.0,0.544,23.98,12,26.08
1954,73,5.14,0.0,0.753,20.85,9,6.27
1955,65,4.49,0.0,0.677,13.9,11,7.6
1956,44,2.99,0.0,0.818,16.42,8,0.0
1957,53,6.94,0.0,0.547,15.32,8,16.44
1958,50,7.14,0.0,0.58,17.0,6,23.43
1959,60,4.25,0.0,0.6,10.63,9,4.37
1960,42,2.71,0.0,0.643,7.6,4,12.5
1961,84,5.0,0.0,0.607,12.73,12,14.49
1962,88,4.95,0.0,0.568,11.47,25,11.59
1963,62,3.06,0.0,0.661,9.02,18,4.23
1964,56,6.71,2.27,0.5,13.41,15,5.7
1965,74,9.44,5.9,0.284,13.18,13,13.66
1966,57,11.42,5.56,0.263,15.5,11,14.97
1967,65,8.73,6.25,0.323,12.89,13,12.87
1968,56,8.96,6.25,0.393,14.76,5,14.31
1969,61,8.99,6.25,0.295,12.76,10,14.68
1970,72,8.82,6.25,0.333,13.24,10,14.67
1971,63,9.41,6.25,0.317,13.79,13,22.58
1972,55,9.78,6.25,0.2,12.23,5,27.95
1973,64,8.71,6.25,0.266,11.87,9,13.53
1974,69,8.28,6.25,0.275,11.43,6,16.9
1975,67,7.82,6.25,0.328,11.65,8,10.34
1976,56,8.23,6.25,0.321,12.13,6,21.18
1977,83,7.62,6.25,0.313,11.09,9,7.95
1978,78,7.55,6.25,0.436,13.39,14,17.31
1979,77,10.6,0.0,0.506,21.47,10,26.79
1980,73,10.54,0.0,0.548,23.31,11,25.02
1981,75,17.28,12.5,0.413,29.46,10,22.73
1982,63,8.52,0.0,0.587,20.64,4,21.45
1983,57,10.38,0.0,0.579,24.65,3,0.0
1984,41,8.67,0.0,0.683,27.34,3,27.78
1985,45,15.12,0.0,0.578,35.81,5,50.25
1986,37,17.3,6.25,0.486,33.69,7,26.19
1987,43,16.58,12.5,0.279,23.0,8,26.14
1988,40,16.08,10.79,0.425,27.96,6,43.43
1989,36,19.89,14.59,0.333,29.84,4,37.98
1990,42,16.92,16.67,0.357,26.31,7,21.7
1991,46,18.03,13.39,0.348,27.65,10,35.94
1992,39,17.61,16.67,0.333,26.42,10,26.5
1993,63,23.06,16.67,0.19,28.48,18,30.21
1994,54,20.36,16.67,0.352,31.42,13,34.84
1995,40,21.53,16.67,0.35,33.12,11,33.2
1996,49,11.27,6.25,0.449,20.45,13,26.0
1997,38,12.05,9.16,0.395,19.91,7,27.13
1998,38,15.32,17.71,0.421,26.46,13,29.07
1999,35,18.36,18.75,0.286,25.71,14,28.81
2000,41,21.13,21.43,0.098,23.41,18,27.28
2001,65,21.07,18.75,0.123,24.02,19,32.88
2002,31,18.73,16.67,0.129,21.51,9,27.58
2003,41,20.1,16.67,0.22,25.75,9,34.42
2004,45,15.92,14.29,0.289,22.39,21,25.45
2005,26,13.94,12.5,0.346,21.32,7,27.76
2006,27,18.64,16.67,0.222,23.97,13,27.58
2007,32,19.02,18.34,0.25,25.35,14,30.58
2008,30,18.86,16.67,0.167,22.64,12,27.9
2009,44,20.9,20.71,0.091,22.99,22,27.24
2010,35,24.82,21.43,0.029,25.55,19,31.37
2011,34,25.31,25.0,0.088,27.75,20,32.48
2012,39,26.23,27.27,0.051,27.65,29,32.85
2013,20,23.17,19.05,0.15,27.26,12,33.88
2014,31,22.34,20.0,0.194,27.7,14,37.26
2015,29,22.26,21.43,0.138,25.82,17,31.69
2016,42,19.63,18.75,0.143,22.9,21,30.36
2017,61,21.31,16.67,0.131,24.53,27,33.09
2018,37,23.81,25.0,0.162,28.42,25,29.22
2019,45,25.42,27.78,0.089,27.9,31,30.53
2020,69,26.72,27.78,0.029,27.51,43,32.42
2021,91,29.53,30.0,0.0,29.53,67,33.36
2022,29,30.05,27.78,0.034,31.12,22,32.31
2023,24,32.82,35.71,0.042,34.25,18,38.95
2024,19,25.3,25.0,0.053,26.71,11,31.89
2025,237,37.72,38.89,0.03,38.87,141,45.94
2026,42,29.53,27.52,0.0,29.53,29,36.17
