masked_item_id,unmasked_order_id,eo_number,stratum,date,president,validation_class,in_human_subset
item-001,order-171,13542,X5-2001-2020,2010-05-13,Barack Obama,,0
item-002,order-170,14230,X6-Trump2,2025-03-06,Donald J. Trump (2nd Term),,1
item-003,order-207,11810,V-pos,1974-09-30,Gerald R. Ford,positive,1
item-004,order-123,14069,X6-Biden,2022-03-15,"Joseph R. Biden, Jr.",,0
item-005,order-199,9654,V-neg,1945-11-03,Harry S Truman,negative,0
item-006,order-136,12839,V-pos,1993-02-10,William J. Clinton,positive,1
item-007,order-025,9969,V-neg,1948-06-19,Harry S Truman,negative,1
item-008,order-083,9595,V-pos,1945-07-30,Harry S Truman,positive,1
item-009,order-008,10423,X2-seam-streamA,1953-01-14,Harry S Truman,,0
item-010,order-038,12145,X3-1955-1980,1979-07-18,Jimmy Carter,,0
item-011,order-121,8981,X1-1936-1950,1941-12-17,Franklin D. Roosevelt,,0
item-012,order-049,9246,V-neg,1942-09-17,Franklin D. Roosevelt,negative,0
item-013,order-079,12312,X4-1981-2000,1981-07-02,Ronald Reagan,,0
item-014,order-077,10507,X2-seam-streamB,1953-12-10,Dwight D. Eisenhower,,1
item-015,order-053,14201,X6-Trump2,2025-02-05,Donald J. Trump (2nd Term),,1
item-016,order-094,11183,X3-1955-1980,1964-10-03,Lyndon B. Johnson,,0
item-017,order-176,10821,X3-1955-1980,1959-05-20,Dwight D. Eisenhower,,1
item-018,order-116,9111,V-neg,1942-03-25,Franklin D. Roosevelt,negative,1
item-019,order-057,12708,V-pos,1990-03-23,George Bush,positive,1
item-020,order-137,10426,V-neg,1953-01-16,Harry S Truman,negative,1
item-021,order-075,13650,X5-2001-2020,2013-08-01,Barack Obama,,1
item-022,order-190,10621,V-pos,1955-07-01,Dwight D. Eisenhower,positive,0
item-023,order-132,14079,X6-Biden,2022-08-03,"Joseph R. Biden, Jr.",,1
item-024,order-044,11453,V-neg,1969-01-24,Richard Nixon,negative,1
item-025,order-173,8595,X1-1936-1950,1940-11-18,Franklin D. Roosevelt,,0
item-026,order-156,12812,X4-1981-2000,1992-07-22,George Bush,,0
item-027,order-098,9052,V-neg,1942-02-06,Franklin D. Roosevelt,negative,1
item-028,order-166,12051,V-neg,1978-04-07,Jimmy Carter,negative,1
item-029,order-185,12539,X4-1981-2000,1985-12-03,Ronald Reagan,,0
item-030,order-009,9421,V-neg,1944-02-08,Franklin D. Roosevelt,negative,0
item-031,order-046,7651,V-neg,1937-07-01,Franklin D. Roosevelt,negative,0
item-032,order-133,14012,X6-Biden,2021-02-02,"Joseph R. Biden, Jr.",,1
