item_id,eo_number,words_original,words_masked,P.L. [PL],President [PRESIDENT],Pub. L. [PL],Public Law [PL],[CONGRESS],[DATE],[EO-x],[FR],[PRESIDENT],[PROC-x],[STAT],[YEAR-range],[YEAR],[header removed],[signature/date/filing line removed]
item-001,13542,553,543,0,0,0,0,0,1,1,0,0,0,0,0,2,0,3
item-002,14230,1109,1098,0,0,0,0,0,1,1,0,0,0,0,0,3,0,3
item-003,11810,464,437,0,0,0,0,0,9,4,0,0,2,0,0,2,0,3
item-004,14069,390,378,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3
item-005,9654,107,88,0,0,0,0,0,3,0,0,0,0,2,0,0,0,3
item-006,12839,263,254,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
item-007,9969,456,435,0,0,0,0,0,4,0,0,0,0,2,0,0,0,3
item-008,9595,632,619,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3
item-009,10423,66,53,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3
item-010,12145,1062,1025,0,0,0,12,0,7,2,0,0,0,1,0,12,0,4
item-011,8981,658,646,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
item-012,9246,474,463,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3
item-013,12312,177,154,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4
item-014,10507,983,960,0,0,0,0,0,6,7,0,0,0,1,0,0,0,3
item-015,14201,1157,1142,0,0,0,0,0,2,1,1,0,0,0,0,5,0,3
item-016,11183,570,556,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3
item-017,10821,498,485,0,0,0,0,0,1,1,0,0,0,1,0,1,0,3
item-018,9111,70,57,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3
item-019,12708,2023,2001,0,0,0,0,0,7,4,0,0,0,0,0,5,0,3
item-020,10426,497,476,0,0,0,0,0,5,2,1,0,0,0,0,1,0,3
item-021,13650,2010,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
item-022,10621,1484,1397,0,0,0,0,0,19,0,0,0,0,20,0,2,0,3
item-023,14079,863,851,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3
